IPO_DATE,SYMBOL,COMPANY_NAME,IPO_PRICE,CURRENT_PRICE,PERCENTAGE_RETURN
2020-08-05,GOAC,GO Acquisition,10,10,0
2020-08-04,YAC,Yucaipa Acquisition,10,9.96,-0.004
2020-08-04,HSAQ,Health Sciences Acquisitions 2,10,10.98,0.098
2020-07-31,VITL,Vital Farms,22,28.68,0.3036
2020-07-31,FTHM,Fathom Holdings,10,42.94,3.294
2020-07-31,ETAC,E.merge Technology Acquisition,10,9.93,-0.007
2020-07-31,NHIC,NewHold Investment Corp.,10,10.5,0.05
2020-07-31,VSTA,Vasta Platform,19,12.08,-0.3642
2020-07-31,PRPB,CC Neuberger Principal Holdings II,10,10.15,0.015
2020-07-31,GOED,1847 Goedeker,9,10.61,0.1789
2020-07-30,CCIV,Churchill Capital Corp. IV,10,29.5,1.95
2020-07-30,LI,Li Auto,11.5,25.43,1.2113
2020-07-30,ALVR,AlloVir,17,27.78,0.6341
2020-07-29,VERX,Vertex,19,25.67,0.3511
2020-07-28,ACEV,ACE Convergence Acquisition,10,10.49,0.049
2020-07-24,ITOS,iTeos Therapeutics,19,34.95,0.8395
2020-07-24,INZY,Inozyme Pharma,16,22.14,0.3838
2020-07-24,ACND,Ascendant Digital Acquisition,10,9.93,-0.007
2020-07-24,ANNX,Annexon Biosciences,17,31.54,0.8553
2020-07-24,GRCY,Greencity Acquisition,10,10.06,0.006
2020-07-24,NRIX,Nurix Therapeutics,19,45.96,1.4189
2020-07-23,EDTK,Skillful Craftsman,5,3.6,-0.28
2020-07-23,ERES,East Resources Acquisition,10,9.99,-0.001
2020-07-23,MEG,Montrose Environmental Group,15,49.78,2.3187
2020-07-22,PSAC,Property Solutions Acquisition,10,13.14,0.314
2020-07-22,PSTH,Pershing Square Tontine Holdings,20,27.23,0.3615
2020-07-22,JAMF,Jamf Holding,26,38.55,0.4827
2020-07-17,ALXO,ALX Oncology Holdings,19,80.76,3.2505
2020-07-17,RNLX,Renalytix AI,13.5,29.82,1.2089
2020-07-17,DFHT,Deerfield Healthcare Technology Acquisitions,10,14.19,0.419
2020-07-17,BLI,Berkeley Lights,22,54.87,1.4941
2020-07-17,PAND,Pandion Therapeutics,18,59.95,2.3306
2020-07-16,TIG,Trean Insurance Group,15,16.96,0.1307
2020-07-16,RLAY,Relay Therapeutics,20,40.26,1.013
2020-07-15,GOCO,GoHealth,21,11.65,-0.4452
2020-07-15,MLAC,Malacca Straits Acquisition,10,9.94,-0.006
2020-07-15,DEH,D8 Holdings,10,9.96,-0.004
2020-07-15,HPX,HPX Corp.,10,10,0
2020-07-14,AACQ,Artius Acquisition,10,10.35,0.035
2020-07-14,NCNO,"nCino, Inc.",31,70.61,1.2777
2020-07-13,PTK,PTK Acquisition,10,9.98,-0.002
2020-07-10,PSTX,Poseida Therapeutics,16,11.4,-0.2875
2020-07-10,NKTX,Nkarta,18,45.13,1.5072
2020-07-10,QH,Quhuo,10,6.55,-0.345
2020-07-10,IVA,Inventiva,14.4,13.8,-0.0417
2020-07-08,BLCT,BlueCity Holdings,16,12.55,-0.2156
2020-07-08,TXAC,Therapeutics Acquisition,10,12.96,0.296
2020-07-08,RACA,Therapeutics Acquisition,10,12,0.2
2020-07-02,LMND,Lemonade,29,104.77,2.6128
2020-07-02,CPSR,Capstar Special Purpose Acquisition,10,9.86,-0.014
2020-07-02,ACCD,Accolade,22,47.24,1.1473
2020-07-01,PANA,Panacea Acquisition,10,10.42,0.042
2020-07-01,DNB,Dun & Bradstreet,22,24.49,0.1132
2020-06-30,GSAH,GS Acquisition Holdings II,10,11.28,0.128
2020-06-30,ADTX,Aditx Therapeutics,9,3.46,-0.6156
2020-06-26,API,Agora,20,59.63,1.9815
2020-06-26,ACI,Albertsons Companies,16,18.72,0.17
2020-06-26,FUSE,Fusion Acquisition,10,10.39,0.039
2020-06-26,KCAC,Kensington Capital Acquisition,10,23.5,1.35
2020-06-26,PYPD,PolyPid,16,10.48,-0.345
2020-06-26,EBON,Ebang International,5.23,11.78,1.2524
2020-06-26,FUSN,Fusion Pharmaceuticals,17,11.51,-0.3229
2020-06-26,AKUS,Akouos,17,20.76,0.2212
2020-06-24,BRLI,Brilliant Acquisition,10,9.93,-0.007
2020-06-19,GTH,Genetron Holdings,16,23.64,0.4775
2020-06-19,NUZE,"NuZee, Inc.",9,5.5,-0.3889
2020-06-19,RPTX,Repare Therapeutics,20,29.25,0.4625
2020-06-19,PROG,Progenity,15,4.98,-0.668
2020-06-19,FMTX,Forma Therapeutics,20,35.49,0.7745
2020-06-17,TREB,Trebia Acquisition,10,10.54,0.054
2020-06-16,RPRX,Royalty Pharma,28,48.62,0.7364
2020-06-12,BNR,Burning Rock Biotech,16.5,25.06,0.5188
2020-06-12,AZEK,AZEK Company,23,44.4,0.9304
2020-06-12,PCVX,Vaxcyte,16,27.25,0.7031
2020-06-12,RNA,Avidity Biosciences,18,26.52,0.4733
2020-06-12,GBIO,Generation Bio,19,34.4,0.8105
2020-06-11,LTRN,Lantern Pharma,15,21.92,0.4613
2020-06-10,UCL,uCloudlink Group,18,10.59,-0.4117
2020-06-09,HEC,Hudson Executive Investment Corp.,10,10.13,0.013
2020-06-09,VRM,Vroom,22,37.23,0.6923
2020-06-05,LEGN,Legend Biotech,23,28.31,0.2309
2020-06-05,MCAC,Mountain Crest Acquisition,10,13.34,0.334
2020-06-05,AMTI,Applied Molecular Transport,14,67.66,3.8329
2020-06-05,CALT,Calliditas Therapeutics,19.5,29.82,0.5292
2020-06-05,FOUR,Shift4 Payments,23,89.25,2.8804
2020-06-05,ARYB,ARYA Sciences Acquisition II,10,10.1,0.01
2020-06-05,DADA,Dada Nexus,16,31.14,0.9463
2020-06-04,ZI,ZoomInfo Technologies,21,48.53,1.311
2020-06-03,WMG,Warner Music Group,25,34.55,0.382
2020-06-03,PLRX,Pliant Therapeutics,16,40,1.5
2020-05-27,WPF,Foley Trasimene Acquisition,10,10.29,0.029
